query,product,proba
0,103052445,0.56183606
0,103044513,0.7823866
0,103035030,0.9931211
0,103036197,0.43699634
0,103055323,0.95850766
0,103065111,0.12910374
0,103051786,0.78260314
0,103025469,0.004221521
0,103066596,0.7053681
0,103010665,0.99190956
0,103010210,0.93630475
0,103015105,0.20639
0,103043601,0.89723355
0,103006984,0.79409665
0,103053460,0.98332155
0,103066188,0.07963802
0,103009820,0.10782351
0,103044507,0.9463581
0,103044548,0.8280436
0,103042000,0.9914403
0,103061682,0.4746366
0,103060075,0.57464236
0,103032634,0.9002262
0,103054243,0.8472419
0,103005282,0.88070357
0,103012474,0.9840247
0,103038604,0.92737657
0,103059110,0.79072374
0,103021283,0.9429812
0,103054439,0.98341125
1,103029531,0.16548717
1,103026926,0.018062016
1,103047501,0.93359613
1,103031606,0.6558106
1,103007658,2.69E-05
1,103042418,0.61774224
1,103037741,0.9786404
1,103040741,0.033803634
1,103064594,0.015865741
1,103051976,9.25E-05
1,103066861,0.99734217
1,103056827,0.93218946
1,103000844,0.001709137
1,103050393,2.60E-05
1,103058164,0.99543935
1,103050362,0.9982388
1,103033239,2.22E-06
1,103018025,1.31E-06
1,103031741,0.99849427
1,103039428,0.9987451
1,103058159,9.58E-05
1,103040107,0.997621
1,103028793,0.001882844
1,103066257,5.36E-06
1,103041536,0.997544
1,103062818,0.000692295
1,103010853,0.000306912
1,103049604,0.9144124
1,103018092,0.00017661
1,103060877,0.001095667
2,103021228,4.47E-06
2,103018864,0.9360819
2,103001808,0.9742843
2,103007012,0.06865443
2,103003414,0.002530598
2,103040094,0.9978756
2,103061672,0.9857012
2,103047941,0.67854756
2,103045222,0.017593013
2,103051809,0.032263342
2,103023528,0.000600264
2,103047382,0.9593199
2,103001026,0.47411227
2,103053773,0.000584629
2,103019137,0.91666555
2,103041143,0.55206925
2,103007976,1.95E-06
2,103040564,0.22899345
2,103016198,0.9559202
2,103009895,0.11548923
2,103054005,0.004961612
2,103010145,0.96229273
2,103047101,0.000466318
2,103011099,0.9965785
2,103042930,0.49837202
2,103064798,0.8884312
2,103034398,0.000207975
2,103050264,0.003175827
2,103012405,0.001445993
2,103034312,0.3831274
3,103066006,0.5499607
3,103007891,0.99735236
3,103041089,0.035575762
3,103042430,0.002765926
3,103040094,0.000478963
3,103061615,0.08959284
3,103038648,0.000780817
3,103053207,0.37119508
3,103014378,0.003912836
3,103060894,0.99887735
3,103032254,0.08152254
3,103034151,0.3726533
3,103008290,0.008144627
3,103030458,0.63842684
3,103020362,0.99491394
3,103064442,0.012731546
3,103029261,0.004257837
3,103045271,0.43420088
3,103037287,0.04732059
3,103038669,0.9252894
3,103031371,0.9446451
3,103064798,1.86E-05
3,103007742,0.9980196
3,103058208,0.042811174
3,103042040,0.6148207
3,103030393,0.00072156
3,103015892,0.99884593
3,103064876,0.99854916
3,103019673,0.030455457
3,103011099,0.002978209
4,103049051,0.9342831
4,103046134,0.77736056
4,103048326,0.87056017
4,103032992,0.8988052
4,103063109,0.8809627
4,103030937,0.89448166
4,103015308,0.8914858
4,103061976,0.842684
4,103040494,0.02157399
4,103055260,0.8967782
4,103064801,0.9225987
4,103057959,0.812376
4,103014174,0.95804155
4,103063070,0.8010447
4,103032810,0.9371663
4,103003215,0.63778245
4,103039937,0.3377669
4,103033516,0.95141953
4,103038695,0.8980357
4,103025786,0.16339974
4,103032349,0.94063836
4,103054847,0.90467733
4,103019033,0.9179535
4,103022805,0.94414866
4,103057584,0.8680326
4,103039429,0.6531613
4,103039122,0.95846933
4,103038249,0.95777816
4,103036138,0.95779234
4,103009246,0.9227661
5,103035344,0.9902491
5,103019347,0.97438383
5,103008494,0.85800934
5,103040476,0.9952147
5,103062110,0.98985904
5,103031337,0.9946354
5,103046823,0.992732
5,103008253,0.9842643
5,103048144,0.96985877
5,103047775,0.9818534
5,103046241,0.004075729
5,103033420,0.8845639
5,103012178,0.6665122
5,103044654,0.99778396
5,103052802,0.99056774
5,103043184,0.99638593
5,103014121,0.98676145
5,103003457,0.9689492
5,103042313,0.9899393
5,103004167,0.77513206
5,103037851,0.9602853
5,103032753,0.984126
5,102230860,0.9910691
5,103058491,0.530129
5,103057883,0.8284518
5,103032638,0.00243607
6,103029068,0.000809695
6,103008893,0.000131498
6,103026952,0.994829
6,103059299,0.006495439
6,103037887,5.00E-05
6,103001767,0.6184535
6,103001353,0.00104389
6,103052445,0.12782934
6,103013088,0.94007236
6,103022431,0.055809435
6,103005460,9.25E-05
6,103030060,0.94559735
6,103049850,0.9487272
6,103064619,0.15955174
6,103035370,0.11841603
6,103022494,0.006885893
6,103022931,0.026059058
6,103029997,0.024350204
6,103056711,0.98535746
6,103038594,0.9487271
6,103037913,0.001559781
6,103048626,0.000260585
6,103030171,0.000272904
6,103053298,0.74580276
6,103008909,2.73E-05
6,103036469,0.86525214
6,103021438,0.000589406
6,103054798,0.001840557
6,103030955,0.000247147
6,103062630,0.000941624
7,103043032,0.98169327
7,103008577,0.9445249
7,103063037,0.00124093
7,103029140,0.9626375
7,103003722,0.9843753
7,103015833,0.9684636
7,103030131,0.54162943
7,103019203,0.00274939
7,103047992,0.30362362
7,103065471,0.801945
7,103023341,0.97842926
7,103000648,0.91429967
7,103060040,0.559835
7,103028952,0.61274457
7,103049598,0.9848
7,103007488,0.55695015
7,103053807,9.06E-06
7,103018903,0.98595506
7,103063987,0.9745714
7,103062499,5.69E-05
7,103064586,0.8134535
7,103033524,0.9599793
7,103065672,0.60562754
7,103061622,0.47503507
7,103047693,3.69E-05
7,103041616,0.86486495
7,103028560,0.94602513
7,103048341,0.9878087
7,103000700,0.9656078
7,103053658,0.9832766
8,103006180,0.000298149
8,103056851,1.96E-06
8,103002026,0.9942715
8,103060896,0.98983335
8,103064049,0.8196961
8,103048183,0.066514745
8,103023448,2.06E-05
8,103024114,1.43E-06
8,103026689,0.9363347
8,103065088,0.16129792
8,103036153,1.62E-05
8,103034645,0.013952941
8,103062764,0.58033574
8,103045772,0.46970195
8,103063757,0.96565074
8,103010044,0.2094387
8,103051039,0.45601487
8,103011714,0.03273636
8,103032360,2.51E-06
8,103059718,2.52E-06
8,103039233,0.92351824
8,103036447,2.62E-06
8,103033269,1.76E-06
8,103037087,1.19E-05
8,103041872,0.001838208
8,103025027,0.00047113
8,103049130,0.9496885
8,103044363,0.5766355
8,103011365,0.000816488
8,103016586,0.91861665
9,103008494,0.55284494
9,103026053,0.9811193
9,103019347,0.9877275
9,103035344,0.9835488
9,103008253,0.98655415
9,103046823,0.9823715
9,103048712,0.9962443
9,103047775,0.9907698
9,103046241,0.003065156
9,103048144,0.94496983
9,103065537,0.9926035
9,103040476,0.95955026
9,103028207,0.9941095
9,103032753,0.96896374
9,102230860,0.99458414
9,103033420,0.9401879
9,103018990,0.9793376
9,103032638,0.14455241
9,103012178,0.85602075
9,103004167,0.97434187
9,103021803,0.99737406
9,103058491,0.013777173
9,103044654,0.99206233
9,103052802,0.99086106
9,103057883,0.7877129
9,103014121,0.98925006
10,103022725,0.004682505
10,103044159,0.9947812
10,103015272,0.63684523
10,103050818,0.9897815
10,103020731,0.000218475
10,103023595,0.98225385
10,103027174,1.36E-06
10,103055856,0.00605679
10,103030955,2.50E-06
10,103030171,1.74E-05
10,103037913,0.000460922
10,103002700,1.20E-06
10,103029853,0.006398038
10,103027069,0.54511046
10,103018309,1.67E-06
10,103025086,0.9948894
10,103029997,4.84E-05
10,103050044,5.46E-05
10,103031427,1.10E-05
10,103000542,0.9936054
10,103031062,0.9652231
10,103041604,0.000294507
10,100544434,0.000363069
10,103043231,0.000208993
10,103000402,0.22981541
10,103009857,0.019319706
10,103023677,0.002226437
10,103006984,0.002408101
10,103021726,4.95E-05
10,103047492,0.000919926
11,103023399,0.006530897
11,103031037,0.44505206
11,103029853,0.000399553
11,103028375,0.024117451
11,103020299,5.19E-05
11,103008462,0.00020064
11,103044574,7.92E-05
11,103035178,0.99410534
11,103013452,0.94032866
11,103031030,1.17E-05
11,103008065,0.9804646
11,103056158,0.29480714
11,103031140,0.001739987
11,103029302,0.000395121
11,103027636,0.9698267
11,103011783,0.059561465
11,103058337,1.70E-06
11,103009019,0.98596895
11,103042718,0.056953654
11,103037674,0.005675997
11,100400951,0.8195212
11,103056260,0.91454566
11,103009272,0.043839075
11,103063521,0.03750251
11,103035013,0.002480886
11,103031482,0.75016373
11,103045654,0.007727732
11,103046532,0.9675139
11,103024887,0.62128705
11,103045884,0.14777271
12,103042700,0.076620884
12,103032409,0.7878586
12,103038660,0.9113518
12,103035713,0.9828723
12,103051891,0.9719901
12,103051724,0.8294218
12,103000740,0.98120284
12,103012864,0.957381
12,103053495,0.9914725
12,103028902,0.95487726
12,103036805,0.9981346
12,103004767,0.96972364
12,103003745,0.9960751
12,103026054,0.9915965
12,103047316,0.9798855
12,103052138,0.9597685
12,103030406,0.9973441
12,103063846,0.9853431
12,103008718,0.9782138
12,103033248,0.9795033
