query-id,product1,product2,product3,product4,product5
0,103020398,103059361,103017048,103020893,103031217
1,103058364,103037602,103032961,103016801,103046849
2,103008379,103059018,103020043,103057259,103032818
3,103043416,103058240,103006234,103037089,103046584
4,103041391,103042861,103000889,103034565,103018943
5,103022151,103044487,103007999,103061609,103039158
6,103021733,103053800,103000242,103005137,103025484
7,103061390,103008771,103021052,103025882,103066489
8,103027289,103056233,103052237,103065258,103027357
9,103030456,103064965,103065258,103046297,103010304
10,103005840,103018933,103049707,103065206,103058125
11,103058508,103052758,103028765,103056361,103047481
12,103039781,103032272,103034577,103058210,103017382
13,103004351,103004698,103007203,103064962,103029152
14,103029168,103038336,103028198,103045410,103012854
15,103054344,103002639,103005821,103049190,103001622
16,103013225,103005021,103064346,103042490,103058776
17,103049768,103001542,103046185,103036737,103041378
18,103052700,103032361,103013630,103047396,103027360
19,103066482,103038015,103017923,103045995,103060221
20,103005310,103044380,103056201,103042080,103053811
21,103019534,103036746,103029058,103036133,103004245
22,103045009,103012397,103031132,103039726,103037835
23,103016688,103055844,103033407,103031425,103017270
24,103012025,103059900,103032408,103034701,103043318
25,103057577,103004211,103052090,103060452,103061280
26,103063211,103060285,103039033,103050084,103028724
27,103038794,103062944,103045003,103057580,103049065
28,103059507,103004785,103013198,103052378,103024762
29,103030110,103056994,103006765,103053100,103031074
30,103028419,103052467,103033633,103037984,103024338
31,103022062,103028855,103040932,103040836,103014334
32,103044054,103041854,103007030,103006186,103015565
33,103013597,103000881,103060612,103012339,103013895
34,103019486,103025105,103010859,103015803,103035013
35,103065593,103044487,103002085,103053803,103028653
36,103053322,103041452,103005281,103047700,103034167
37,103062355,103011216,103004269,103014252,103065655
38,103001398,103030525,103061079,103008527,103036984
39,103018242,103060261,103026288,103065750,103022208
40,103051564,103048477,103058248,103003564,103052150
41,103024364,103020009,103003041,103063648,103039813
42,103036679,103044893,103022570,103002337,103065332
43,103053155,103014606,103003163,103017946,103060861
44,103003934,103027211,103043385,103012184,103031872
45,103060296,103022571,103053126,103014594,103039191
46,103029491,103051738,103057769,103057529,103029707
47,103001147,103046662,103047590,103039209,103020082
48,103027830,103031533,103013256,103032710,103038423
49,103009263,103056285,103016108,103063570,103052103
50,103010424,103045715,103036923,103025015,103062592
51,103045708,103024786,103004614,103038102,103011108
52,103051641,103007544,103049646,103047319,103009156
53,103053768,103025299,103057898,103049272,103018608
54,103054190,103028813,103000459,103053123,103057712
55,103056893,103032056,103013944,103056275,103030722
56,103008880,103005307,103008301,103058022,103005055
57,103000710,103042194,103004614,103064176,103047352
59,103023514,103060905,103008408,103047424,102417029
60,103057666,103033767,103002405,103062822,103011449
61,103006969,103016791,103022415,103033419,103050128
62,103029969,103050948,103026438,103003153,103035422
63,103025815,103028653,103057449,103012103,103055512
64,103019887,103059152,103013138,103002858,103026330
65,103012651,103049140,103012165,103002697,103062989
66,103055426,103045625,103018936,103062572,103022447
67,103055572,103047089,103004670,103014174,103000930
68,103056638,103001153,103056314,103053912,103048256
69,103038678,100834995,103047782,103001348,103038166
70,103034579,103017161,103016234,103046983,103046326
71,103058035,103044487,103042080,103056196,103061110
72,103009839,103001035,103004839,103061908,103023609
73,103055200,103039863,103050257,103061477,103060831
74,103061799,103033283,103043118,103007637,103059239
75,103038056,103011601,103051468,103040704,103026875
76,103062799,103041276,103003575,103021823,103005620
77,103028476,103027104,103006261,103021216,103028614
78,103025642,103032805,103031756,103058714,103034019
79,103000274,103060243,103025187,103003972,100753913
80,103001287,103044120,103018625,103011458,103054704
81,103004238,103041868,103004624,103065969,103053705
82,103061420,103014086,103054363,103063246,103036214
83,103041605,103052326,103060202,103042954,103043358
84,103059312,103001054,103004269,103014440,103023234
85,103027974,103008014,103023048,103063071,103055461
86,103028662,103048734,103045683,103046346,103049963
87,103065768,103002912,103023903,103021947,103049371
88,103010882,103066883,103030258,103004760,103020672
89,103046154,103024909,103064988,103003729,103023835
90,103008042,101225857,103048823,103034606,103047010
91,103032207,103047754,103032991,103065091,103004730
92,103019092,103015007,103058665,103014001,103061173
93,103002772,103027493,103015118,103000960,103011212
94,103055718,103002772,103008618,103039172,103003319
95,103034288,103057378,103043195,103029329,103045967
96,103020097,103034138,103047194,103007340,103056705
97,103004535,103037519,103022025,103029675,103018675
98,103061218,103057562,103027731,103062417,103049039
99,103048039,103060811,103013443,103044881,103019588
100,103044806,103006609,103012284,103040723,103003936
101,103053165,103046224,103020103,103033119,103057779
102,103016739,103016005,103028653,103023444,103050255
103,103063996,103047291,103055189,103020895,103058375
104,103035984,103055644,103010737,103047809,103041655
105,103006100,103035560,103014420,103039172,103052577
106,103016202,103046033,103006562,103039172,103002810
107,103062837,103054991,103024715,103026025,103010726
108,103023015,103016095,103045283,103037205,103039206
109,103011991,103058126,103023262,103029995,103006328
110,103041700,103050781,103010306,103052743,101080006
111,103057697,103034462,103066448,103001277,103026894
112,103064453,103034520,103061280,103058920,103020149
113,103007569,103009173,103064671,103047927,103025355
114,103020280,103012157,103024820,103047614,103046485
115,103033192,103061191,103023971,103043033,103024163
116,103039789,103006201,103026091,103008417,103050724
117,103040971,103061236,103024440,103051892,103041864
118,103056064,103061627,103023057,103004026,103001100
119,103009157,103039639,103045127,103034664,103046012
120,103020496,103054599,103042038,103036013,103008661
121,103026308,103010423,103022683,103028811,103027149
122,103045561,103028751,103012752,103063103,103057367
123,103056368,103030230,103043523,103033196,103033552
124,103005467,103047720,103018405,103021442,103028909
125,103006021,103027393,103013930,103031516,103042200
126,103034766,103017011,103022099,103053629,103016450
127,103014070,103013213,103025369,103016057,103054486
128,103016711,103053344,103015674,103040562,103019283
129,103027490,103022967,103015451,103051758,103018886
130,103048946,103061131,103015560,103036469,103026992
131,103048939,103006498,103060193,101905883,103055706
132,103023633,103060074,103020504,103025743,103049179
133,103037755,103041282,103054784,103016188,103063073
134,103043245,103060419,103028674,103026938,103000825
135,103020909,103043395,103015238,103017850,103054950
136,103064567,103043585,103032763,103065605,103053938
137,103062606,103058315,103045234,103063045,103051474
138,103065409,103048245,103059142,103002126,102339596
139,103045345,103022725,103016015,103023147,103052697
140,103063942,103021824,103035014,103017502,103006758
141,103054102,103021784,103030844,103027332,103007172
142,103036356,103020552,103007574,103033133,103054096
